50Hz-Actual,50Hz-Forecast,AMP-Actual,AMP-Forecast,AT-Actual,AT-Forecast,PL-Actual,PL-Forecast,TBW-Actual,TBW-Forecast,TTG-Actual,TTG-Forecast,TTGf-Actual,TTGf-Forecast,50Hzf-Actual,50Hzf-Forecast,FR-Actual,FR-Forecast,FRf-Actual,FRf-Forecast
"1 517,0","1 510,0","1 988,0","1 940,0","1 196,0","1 484,0","339,0","369,0","541,0","578,0","1 182,0","1 236,0","1 511,0","1 682,0","14,0","22,0","4 320,0","3 831,0","231,0","294,0"
"1 510,0","1 492,0","2 076,0","1 972,0","1 400,0","1 620,0","356,0","358,0","549,0","564,0","1 267,0","1 204,0","1 555,0","1 708,0","25,0","25,0","4 260,0","3 831,0","222,0","294,0"
"1 515,0","1 475,0","2 139,0","2 003,0","1 528,0","1 692,0","381,0","352,0","586,0","584,0","1 297,0","1 218,0","1 687,0","1 579,0","29,0","29,0","4 229,0","3 831,0","222,0","294,0"
"1 458,0","1 461,0","2 144,0","2 032,0","1 692,0","1 852,0","403,0","346,0","546,0","590,0","1 319,0","1 332,0","1 695,0","1 555,0","29,0","32,0","4 175,0","3 831,0","239,0","294,0"
"1 408,0","1 420,0","2 210,0","2 046,0","1 860,0","1 976,0","404,0","351,0","485,0","622,0","1 321,0","1 390,0","1 531,0","1 542,0","19,0","32,0","4 128,0","3 566,0","234,0","302,0"
"1 354,0","1 396,0","2 287,0","2 074,0","2 048,0","2 016,0","400,0","343,0","460,0","573,0","1 401,0","1 464,0","1 515,0","1 560,0","15,0","31,0","4 083,0","3 566,0","233,0","302,0"
"1 279,0","1 358,0","2 258,0","2 097,0","2 180,0","2 100,0","416,0","307,0","454,0","537,0","1 457,0","1 495,0","1 536,0","1 555,0","15,0","34,0","4 066,0","3 566,0","248,0","302,0"
"1 256,0","1 320,0","2 251,0","2 112,0","2 252,0","2 188,0","404,0","290,0","439,0","509,0","1 484,0","1 527,0","1 560,0","1 541,0","20,0","38,0","4 058,0","3 566,0","253,0","302,0"
"1 229,0","1 298,0","2 247,0","2 119,0","2 320,0","2 260,0","401,0","277,0","438,0","495,0","1 496,0","1 580,0","1 536,0","1 465,0","32,0","44,0","4 124,0","3 454,0","245,0","305,0"
"1 174,0","1 273,0","2 230,0","2 126,0","2 336,0","2 260,0","472,0","279,0","493,0","475,0","1 508,0","1 643,0","1 526,0","1 459,0","43,0","49,0","4 211,0","3 454,0","242,0","305,0"
"1 128,0","1 242,0","2 199,0","2 132,0","2 252,0","2 248,0","490,0","300,0","473,0","474,0","1 589,0","1 661,0","1 454,0","1 458,0","43,0","52,0","4 271,0","3 454,0","238,0","305,0"
