gamma,generation_seed,line_id,component,weight,mean_Omega,mean_Lambda,cov_11,cov_12,cov_22,covariance_type,init_seed,bic,fit_time_seconds
0.01,43,1,1,0.8900618675435549,0.0,0.0,1.288604103283317,3.0202302992110124e-05,4.5045176181090285e-05,tied_shape,1009,-12459.802626144148,0.18468412477523088
0.01,43,1,2,0.109938132456449,0.0,0.0,6101.290093235367,0.1430020372968962,0.21328015833680922,tied_shape,1009,-12459.802626144148,0.18468412477523088
0.01,43,2,1,0.890061867543555,0.0,0.0,1.2886041032833206,-3.0202302992077767e-05,4.5045176181090394e-05,tied_shape,1009,-12459.802626144121,0.18272704258561134
0.01,43,2,2,0.10993813245644891,0.0,0.0,6101.290093235371,-0.1430020372967427,0.21328015833680927,tied_shape,1009,-12459.802626144121,0.18272704258561134
0.01,43,3,1,0.0786661429773067,0.0,0.0,8530.305383669907,3.7296442121693922,0.2655138334113315,tied_shape,1005,-42085.94646090203,0.17287329118698835
0.01,43,3,2,0.9213338570226941,0.0,0.0,0.2561430840260767,0.0001119916026281906,7.972696062178415e-06,tied_shape,1005,-42085.94646090203,0.17287329118698835
0.01,43,4,1,0.10085805143384155,0.0,0.0,6690.643707881214,3.0088629747807665,0.9239150303513836,tied_shape,1000,-9688.854284282623,0.18451395723968744
0.01,43,4,2,0.8991419485661581,0.0,0.0,0.7997796585760097,0.00035967053511421,0.0001104420560696209,tied_shape,1000,-9688.854284282623,0.18451395723968744
0.01,43,5,1,0.9125889710703352,0.0,0.0,0.470212147972552,-0.00016349617407088472,1.109807780718398e-05,tied_shape,1001,-33792.993133809774,0.16847545932978392
0.01,43,5,2,0.08741102892966894,0.0,0.0,7654.836020485542,-2.6616420011386843,0.18067156734015768,tied_shape,1001,-33792.993133809774,0.16847545932978392
0.01,43,6,1,0.9125889710703353,0.0,0.0,0.4702121479725502,-0.00016349617407097715,1.109807780718412e-05,tied_shape,1001,-33792.9931338098,0.1713930843397975
0.01,43,6,2,0.08741102892966858,0.0,0.0,7654.836020485575,-2.661642001140211,0.18067156734016146,tied_shape,1001,-33792.9931338098,0.1713930843397975
0.01,43,7,1,0.06970295060228676,0.0,0.0,4854.204054543679,0.0,0.0024271008137214324,tied_shape,1003,-112077.5156578197,0.16343399975448847
0.01,43,7,2,0.9302970493977122,0.0,0.0,0.0251012051892752,0.0,1.255059631933944e-08,tied_shape,1003,-112077.5156578197,0.16343399975448847
0.01,43,8,1,0.09615314368031469,0.0,0.0,7028.900902226496,-12.13529395299316,3.825407539678728,tied_shape,1004,-2472.268884266635,0.18334608431905508
0.01,43,8,2,0.9038468563196883,0.0,0.0,0.6504331929564353,-0.0011229633342547181,0.00035399162329983845,tied_shape,1004,-2472.268884266635,0.18334608431905508
0.01,43,9,1,0.06970295060228676,0.0,0.0,4854.204054543679,0.0,0.0024271008137214324,tied_shape,1003,-112077.5156578197,0.16265229228883982
0.01,43,9,2,0.9302970493977122,0.0,0.0,0.0251012051892752,0.0,1.255059631933944e-08,tied_shape,1003,-112077.5156578197,0.16265229228883982
0.01,43,10,1,0.06970295060228676,0.0,0.0,4854.204054543679,0.0,0.0024271008137214324,tied_shape,1003,-112077.5156578197,0.16170712560415268
0.01,43,10,2,0.9302970493977122,0.0,0.0,0.0251012051892752,0.0,1.255059631933944e-08,tied_shape,1003,-112077.5156578197,0.16170712560415268
0.01,43,11,1,0.07866614297730576,0.0,0.0,8530.305383670013,-3.729644212170175,0.2655138334113444,tied_shape,1005,-42085.94646090178,0.16910495795309544
0.01,43,11,2,0.9213338570226947,0.0,0.0,0.25614308402607966,-0.00011199160262821402,7.972696062178796e-06,tied_shape,1005,-42085.94646090178,0.16910495795309544
0.01,43,12,1,0.07869019956353303,0.0,0.0,8542.083559640976,-4.2013654860912295,0.33532667969681246,tied_shape,1000,-40189.00153568909,0.16973899956792593
0.01,43,12,2,0.921309800436464,0.0,0.0,0.25673588804572567,-0.00012627379392219723,1.007838337055604e-05,tied_shape,1000,-40189.00153568909,0.16973899956792593
0.01,43,13,1,0.11005826359433067,0.0,0.0,6089.794729900604,-0.9498586935828891,0.19541799266302445,tied_shape,1000,-11999.856573147359,0.19118074979633093
0.01,43,13,2,0.8899417364056746,0.0,0.0,1.3964685039870448,-0.00021781485381009485,4.481186706119718e-05,tied_shape,1000,-11999.856573147359,0.19118074979633093
0.01,43,14,1,0.116329806840706,0.0,0.0,5782.111911380245,0.6437567907026299,0.4345986507398225,tied_shape,1000,1583.2350693836584,0.20903724990785122
0.01,43,14,2,0.8836701931592968,0.0,0.0,2.1140291710250665,0.00023536739783820154,0.00015889596040917928,tied_shape,1000,1583.2350693836584,0.20903724990785122
0.01,43,15,1,0.09522601541117984,0.0,0.0,7063.44845885407,0.4502775658218198,0.3356815372847296,tied_shape,1000,-22650.432792977354,0.17627158388495445
0.01,43,15,2,0.9047739845888193,0.0,0.0,0.6266425615701896,3.9946930866393157e-05,2.9780402535852625e-05,tied_shape,1000,-22650.432792977354,0.17627158388495445
0.01,43,16,1,0.9125889710703354,0.0,0.0,0.4702121479725496,-0.0001634961740709451,1.1098077807184579e-05,tied_shape,1001,-33792.99313380942,0.1684330003336072
0.01,43,16,2,0.08741102892966886,0.0,0.0,7654.836020485556,-2.661642001139686,0.1806715673401687,tied_shape,1001,-33792.99313380942,0.1684330003336072
0.01,43,17,1,0.08487433311744717,0.0,0.0,7944.842053677977,-6.14208200807238,0.6413977860132363,tied_shape,1008,-28437.65417110503,0.17945166677236557
0.01,43,17,2,0.915125666882554,0.0,0.0,0.35722015726168743,-0.00027616351414085994,2.8838863811128594e-05,tied_shape,1008,-28437.65417110503,0.17945166677236557
0.01,43,18,1,0.08807347070515215,0.0,0.0,7662.631487848486,-6.9889508675491605,0.864713880357376,tied_shape,1005,-23459.903594252955,0.17871141713112593
0.01,43,18,2,0.9119265292948496,0.0,0.0,0.40184815445937755,-0.00036651860554506003,4.5347825679476205e-05,tied_shape,1005,-23459.903594252955,0.17871141713112593
0.01,43,19,1,0.08487433311744699,0.0,0.0,7944.842053677992,-6.142082008072684,0.6413977860132456,tied_shape,1008,-28437.654171105067,0.1750788325443864
0.01,43,19,2,0.9151256668825541,0.0,0.0,0.35722015726168505,-0.0002761635141408712,2.8838863811128764e-05,tied_shape,1008,-28437.654171105067,0.1750788325443864
0.01,43,20,1,0.08807347070515216,0.0,0.0,7662.631487848486,-6.988950867548442,0.8647138803573713,tied_shape,1005,-23459.90359425294,0.17503154091537
