gamma,gen_seed,line_id,component,weight,mean_Omega,mean_Lambda,cov_11,cov_12,cov_22,covariance_type,seed,bic,fit_time_seconds
0.01,42,2243,1,0.9165025464264027,0.0,0.0,7.130720164721398,0.02424185200779845,0.0005593947490944618,tied_shape,1000,18240.17637512218,0.17572891619056463
0.01,42,2243,2,0.08349745357360033,0.0,0.0,226518.37162339455,770.0799800150857,17.770040715727006,tied_shape,1000,18240.17637512218,0.17572891619056463
0.01,42,1881,1,0.08924352721828059,0.0,0.0,211974.60171202876,15645.684896961355,1170.292597818094,tied_shape,1004,23433.631083261844,0.16851362492889166
0.01,42,1881,2,0.9107564727817167,0.0,0.0,9.011004808090185,0.6650954439528143,0.049748942281950655,tied_shape,1004,23433.631083261844,0.16851362492889166
0.01,42,1907,1,0.09010300856685158,0.0,0.0,209708.62513763702,14771.067006341944,1051.9151012889906,tied_shape,1005,21620.964234537172,0.1701324163004756
0.01,42,1907,2,0.9098969914331468,0.0,0.0,9.220674576018236,0.6494687660874607,0.046251635211566076,tied_shape,1005,21620.964234537172,0.1701324163004756
0.01,42,2923,1,0.07915721761751886,0.0,0.0,238725.69523045266,115.5543975695375,12.451937995338058,tied_shape,1007,3511.097264367038,0.1887195846065879
0.01,42,2923,2,0.9208427823824832,0.0,0.0,3.1775048418483736,0.0015380609004808934,0.00016573872884687792,tied_shape,1007,3511.097264367038,0.1887195846065879
0.01,42,599,1,0.9061328842728664,0.0,0.0,13.204820283799624,0.08196252950941768,0.0005928011700426213,tied_shape,1000,10190.85071153197,0.18399525061249733
0.01,42,599,2,0.09386711572713387,0.0,0.0,194246.54249630065,1205.6913785481845,8.720268446955874,tied_shape,1000,10190.85071153197,0.18399525061249733
0.01,42,2491,1,0.0990363610628601,0.0,0.0,181270.83803940393,1178.942011047152,8.512346179776582,tied_shape,1004,16023.040651352445,0.1701965006068349
0.01,42,2491,2,0.9009636389371389,0.0,0.0,22.16787039446543,0.144174506976145,0.0010409870054503263,tied_shape,1004,16023.040651352445,0.1701965006068349
0.01,42,228,1,0.9171480512195391,0.0,0.0,5.495687579867679,0.5045847370295697,0.04721917746113736,tied_shape,1005,21388.56724767688,0.1722576254978776
0.01,42,228,2,0.0828519487804591,0.0,0.0,228798.45985034885,21007.05489869541,1965.8459331068188,tied_shape,1005,21388.56724767688,0.1722576254978776
0.01,42,2590,1,0.9172125951076253,0.0,0.0,5.489502042741543,0.49822973164688666,0.04608868029033821,tied_shape,1005,21170.69821224723,0.1708589168265462
0.01,42,2590,2,0.08278740489237589,0.0,0.0,228968.44487463753,20781.281427217185,1922.3698926128534,tied_shape,1005,21170.69821224723,0.1708589168265462
0.01,42,2579,1,0.09347013759797515,0.0,0.0,202597.92290648507,6197.7723631240715,211.1845201613061,tied_shape,1001,29691.902408598766,0.1768411248922348
0.01,42,2579,2,0.9065298624020276,0.0,0.0,10.723230798967453,0.32803960936913423,0.011177707640685748,tied_shape,1001,29691.902408598766,0.1768411248922348
0.01,42,1880,1,0.0736536939290178,0.0,0.0,257816.1720709504,6583.178488663578,2420.185652636307,tied_shape,1004,34043.6776414891,0.1732114152982831
0.01,42,1880,2,0.9263463060709806,0.0,0.0,1.6891408938180297,0.043131181055021825,0.01585639304028859,tied_shape,1004,34043.6776414891,0.1732114152982831
0.01,42,2562,1,0.08534663158414252,0.0,0.0,219300.7595242139,336.08010622405817,4.381009335144427,tied_shape,1004,4927.108714212688,0.17939858231693506
0.01,42,2562,2,0.9146533684158574,0.0,0.0,5.811995330944082,0.008906927693434395,0.00011610723946384889,tied_shape,1004,4927.108714212688,0.17939858231693506
0.01,42,3215,1,0.07291243615578422,0.0,0.0,260348.4884551235,714.305160852117,202.89208736455961,tied_shape,1006,20975.186263034397,0.1692615421488881
0.01,42,3215,2,0.9270875638442112,0.0,0.0,2.618926557199692,0.007185418155492241,0.002040954718031006,tied_shape,1006,20975.186263034397,0.1692615421488881
0.01,42,1106,1,0.9281113360745886,0.0,0.0,1.9799907974893227,-0.011678717400987993,0.002098936158104012,tied_shape,1009,18878.455710674563,0.17276283353567123
0.01,42,1106,2,0.07188866392541424,0.0,0.0,264085.49855038285,-1557.6738594844794,279.9500898899063,tied_shape,1009,18878.455710674563,0.17276283353567123
0.01,42,2366,1,0.9259098397098177,0.0,0.0,2.9756175290511258,-0.003215007741637642,9.587841575661142e-05,tied_shape,1005,-2600.891535221231,0.1810079589486122
0.01,42,2366,2,0.07409016029018271,0.0,0.0,254225.09588462627,-274.67765712762144,8.191475954493145,tied_shape,1005,-2600.891535221231,0.1810079589486122
0.01,42,3196,1,0.09156897511248467,0.0,0.0,205621.6761624765,1021.2507134320996,11.408278312546777,tied_shape,1004,17599.812375133602,0.18501474987715483
0.01,42,3196,2,0.9084310248875146,0.0,0.0,9.434498493401298,0.04685784347778026,0.000523443766050122,tied_shape,1004,17599.812375133602,0.18501474987715483
0.01,42,1783,1,0.0763378805290829,0.0,0.0,138852.8606310698,3.51989422190645,0.07865802281042725,tied_shape,1006,-53032.69570425066,0.17151558306068182
0.01,42,1783,2,0.9236621194709161,0.0,0.0,0.8699569619030881,2.20532473698621e-05,4.92817319300884e-07,tied_shape,1006,-53032.69570425066,0.17151558306068182
0.01,42,928,1,0.07633788052907711,0.0,0.0,138852.860631099,-3.5198942219132117,0.07865802281045743,tied_shape,1006,-53032.69570424947,0.16913599986582994
0.01,42,928,2,0.9236621194709219,0.0,0.0,0.8699569619031403,-2.205324736990115e-05,4.928173193009992e-07,tied_shape,1006,-53032.69570424947,0.16913599986582994
0.01,42,859,1,0.074465500145856,0.0,0.0,127509.70690967546,0.0,0.06375482157742693,tied_shape,1002,-60559.89528875378,0.16112954076379538
0.01,42,859,2,0.9255344998541418,0.0,0.0,0.5802863520635386,0.0,2.901430309602538e-07,tied_shape,1002,-60559.89528875378,0.16112954076379538
