gamma,line_id,component,weight,mean_Omega,mean_Lambda,cov_11,cov_12,cov_22,covariance_type,seed,bic,fit_time_seconds
0.01,2243,1,0.10809644816146355,0.0,0.0,2556.1290207159545,89.83057876386228,7.065914290623224,tied_shape,1004,6419.364027356964,0.1776245841756463
0.01,2243,2,0.8919035518385349,0.0,0.0,0.6606303625956151,0.02321667151383549,0.0018261822787710832,tied_shape,1004,6419.364027356964,0.1776245841756463
0.01,1881,1,0.8858485769797438,0.0,0.0,0.8479745512298,0.09307938828726052,0.011006381104924025,tied_shape,1009,6856.232155528241,0.1735023343935609
0.01,1881,2,0.11415142302025884,0.0,0.0,2418.8547852727897,265.5097649362003,31.39579786394644,tied_shape,1009,6856.232155528241,0.1735023343935609
0.01,1907,1,0.8859501308273586,0.0,0.0,0.8431695480998094,0.08594865966301789,0.009391726343014046,tied_shape,1008,5013.363719275645,0.17383558303117752
0.01,1907,2,0.1140498691726423,0.0,0.0,2420.884390662972,246.77334356479147,26.96525717326968,tied_shape,1008,5013.363719275645,0.17383558303117752
0.01,2923,1,0.8833872557304733,0.0,0.0,0.8518479938379648,-0.0016163182831959958,0.00026119766790599154,tied_shape,1004,-1693.8894504526563,0.18032133299857378
0.01,2923,2,0.1166127442695279,0.0,0.0,2366.4830013695578,-4.490225685398193,0.7256222302197218,tied_shape,1004,-1693.8894504526563,0.18032133299857378
0.01,599,1,0.11379695958705073,0.0,0.0,2426.2009767702375,34.23730934896422,1.3676289048771157,tied_shape,1001,-2541.8032168021905,0.1801854595541954
0.01,599,2,0.8862030404129476,0.0,0.0,0.7433795981057184,0.010490193313636782,0.0004190367720561647,tied_shape,1001,-2541.8032168021905,0.1801854595541954
0.01,2491,1,0.8810239141966074,0.0,0.0,0.9910315891231931,0.0063881483422674815,0.0002583566566436051,tied_shape,1006,-1836.3229445337358,0.1815538750961423
0.01,2491,2,0.11897608580339383,0.0,0.0,2317.726165379844,14.939966317623316,0.6042188661541285,tied_shape,1006,-1836.3229445337358,0.1815538750961423
0.01,228,1,0.11331544553391662,0.0,0.0,2437.2058586621038,130.5533377243,8.457212675603241,tied_shape,1004,1278.4538754403397,0.1798238754272461
0.01,228,2,0.8866845544660843,0.0,0.0,0.737661257502477,0.039514158779233595,0.002559717356282744,tied_shape,1004,1278.4538754403397,0.1798238754272461
0.01,2590,1,0.11335134805305817,0.0,0.0,2436.4151933698963,129.13236549938912,8.274437641695895,tied_shape,1008,1089.3787694513371,0.1802771668881178
0.01,2590,2,0.8866486519469419,0.0,0.0,0.7370722621796063,0.03906554392627623,0.0025032098336217165,tied_shape,1008,1089.3787694513371,0.1802771668881178
0.01,2579,1,0.8833034771837839,0.0,0.0,0.7225369800111252,0.031184120613769906,0.004966953167906053,tied_shape,1009,18461.894678019,0.1644104579463601
0.01,2579,2,0.11669652281621848,0.0,0.0,2367.602566806148,102.18384117532271,16.27566670616531,tied_shape,1009,18461.894678019,0.1644104579463601
0.01,1880,1,0.10826953398197897,0.0,0.0,2552.5746383179194,435.7578379334581,242.93551006193874,tied_shape,1000,36245.401939195224,0.15769745875149965
0.01,1880,2,0.8917304660180225,0.0,0.0,0.64582305714432,0.11025043297234793,0.061464746786211374,tied_shape,1000,36245.401939195224,0.15769745875149965
0.01,2562,1,0.11403221972803029,0.0,0.0,2416.321585925697,30.465173244058402,0.6669902364054409,tied_shape,1004,-8627.462902682664,0.1729103336110711
0.01,2562,2,0.8859677802719721,0.0,0.0,0.9176120409418975,0.011569325027330428,0.00025329338432485273,tied_shape,1004,-8627.462902682664,0.1729103336110711
0.01,3215,1,0.11067255091961008,0.0,0.0,2495.6122651847913,133.50319354209427,13.422160759404052,tied_shape,1007,13661.302362057651,0.1656972924247384
0.01,3215,2,0.8893274490803894,0.0,0.0,0.8091819113424826,0.04328732104252504,0.004352026093619323,tied_shape,1007,13661.302362057651,0.1656972924247384
0.01,1106,1,0.8902298895277773,0.0,0.0,0.6647044374894393,-0.04040049875856824,0.007349057451504978,tied_shape,1006,19312.630396027613,0.16607116535305977
0.01,1106,2,0.10977011047222468,0.0,0.0,2517.459972106973,-153.0103196873406,27.83336009724203,tied_shape,1006,19312.630396027613,0.16607116535305977
0.01,2366,1,0.10769004174755686,0.0,0.0,2563.78981636145,-20.987950509637482,1.0578192319951238,tied_shape,1007,-4184.1177108758175,0.17222883272916079
0.01,2366,2,0.8923099582524415,0.0,0.0,0.7262829211970003,-0.005945569293083016,0.00029966420687407565,tied_shape,1007,-4184.1177108758175,0.17222883272916079
0.01,3196,1,0.10982560311871069,0.0,0.0,2516.873079973672,85.42556230975508,10.389542107755966,tied_shape,1007,9781.92322172648,0.17242162488400936
0.01,3196,2,0.8901743968812909,0.0,0.0,0.5646648255204025,0.019165372549149247,0.0023309117286018518,tied_shape,1007,9781.92322172648,0.17242162488400936
